
CR 0: IF surface-quality = {E} AND condition = {S} THEN class = 3 (p=192, n=0, P=480, N=148)

CR 1: IF surface-quality = {E} AND hardness <= 67.50 AND carbon <= 5.00 THEN class = 3 (p=206, n=0, P=480, N=148)

CR 2: IF carbon >= 27.50 THEN class = 3 (p=42, n=0, P=480, N=148)

CR 3: IF surface-quality = {F} THEN class = 3 (p=41, n=0, P=480, N=148)

CR 4: IF surface-quality = {D} THEN class = 3 (p=38, n=0, P=480, N=148)

CR 5: IF steel = {W} THEN class = 3 (p=10, n=0, P=480, N=148)

CR 6: IF carbon >= 3.50 AND surface-quality = {?} THEN class = 3 (p=53, n=0, P=480, N=148)

CR 7: IF carbon >= 3.50 AND thick <= 1.20 THEN class = 3 (p=32, n=0, P=480, N=148)

CR 8: IF cbond = {Y} AND family = {?} THEN class = 3 (p=51, n=0, P=480, N=148)

CR 9: IF thick <= 0.80 AND condition = {S} THEN class = 3 (p=211, n=0, P=480, N=148)

CR 10: IF thick <= 0.80 AND family = {?} AND hardness <= 82.50 AND carbon <= 1.50 THEN class = 3 (p=238, n=0, P=480, N=148)

CR 11: IF condition = {S} AND steel = {A} THEN class = 3 (p=190, n=0, P=480, N=148)

CR 12: IF lustre = {Y} AND hardness <= 77.50 THEN class = 3 (p=32, n=0, P=480, N=148)

CR 13: IF thick >= 2.10 AND hardness <= 77.50 AND thick <= 3.20 THEN class = 3 (p=66, n=0, P=480, N=148)

CR 14: IF family = {?} AND steel = {A} AND hardness <= 75.00 AND carbon <= 1.50 THEN class = 3 (p=211, n=0, P=480, N=148)

CR 15: IF family = {?} AND thick <= 1.55 AND strength <= 375.00 AND hardness <= 75.00 AND enamelability = {?} THEN class = 3 (p=327, n=19, P=480, N=148)

CR 16: IF family = {?} AND hardness <= 75.00 AND strength <= 500.00 AND enamelability = {?} AND width <= 1,410.05 THEN class = 3 (p=443, n=46, P=480, N=148)

CR 17: IF family = {TN} THEN class = 5 (p=48, n=0, P=48, N=580)

CR 18: IF hardness >= 75.00 AND width >= 39.50 THEN class = U (p=28, n=0, P=30, N=598)

CR 19: IF enamelability = {2} THEN class = 2 (p=7, n=0, P=62, N=566)

CR 20: IF surface-finish = {P} THEN class = 2 (p=5, n=0, P=62, N=566)

CR 21: IF width >= 1,410.05 AND steel = {R} THEN class = 2 (p=7, n=0, P=62, N=566)

CR 22: IF strength >= 450.00 AND steel = {M} THEN class = 2 (p=9, n=0, P=62, N=566)

CR 23: IF surface-quality = {?} AND condition = {S} AND temper_rolling = {?} AND thick >= 0.75 THEN class = 2 (p=49, n=1, P=62, N=566)

CR 24: IF steel = {S} AND bw/me = {?} THEN class = 1 (p=5, n=0, P=8, N=620)
