
CR 0: gammagt <= 20.5 and sgpt <= 19.5 and mcv <= 88.5 and mcv <= 82.5 => class: 2, samples: 3, class_counts: {'1': 0, '2': 0}

CR 1: gammagt <= 20.5 and sgpt <= 19.5 and mcv <= 88.5 and mcv > 82.5 => class: 2, samples: 13, class_counts: {'1': 0, '2': 1}

CR 2: gammagt <= 20.5 and sgpt <= 19.5 and mcv > 88.5 and alkphos <= 77.5 and sgpt <= 13.5 => class: 1, samples: 5, class_counts: {'1': 0, '2': 0}

CR 3: gammagt <= 20.5 and sgpt <= 19.5 and mcv > 88.5 and alkphos <= 77.5 and sgpt > 13.5 => class: 2, samples: 11, class_counts: {'1': 0, '2': 0}

CR 4: gammagt <= 20.5 and sgpt <= 19.5 and mcv > 88.5 and alkphos > 77.5 and sgpt <= 15.5 => class: 1, samples: 3, class_counts: {'1': 0, '2': 0}

CR 5: gammagt <= 20.5 and sgpt <= 19.5 and mcv > 88.5 and alkphos > 77.5 and sgpt > 15.5 => class: 1, samples: 4, class_counts: {'1': 1, '2': 0}

CR 6: gammagt <= 20.5 and sgpt > 19.5 and mcv <= 87.5 and sgpt <= 26.5 and sgpt <= 20.5 => class: 1, samples: 4, class_counts: {'1': 0, '2': 0}

CR 7: gammagt <= 20.5 and sgpt > 19.5 and mcv <= 87.5 and sgpt <= 26.5 and sgpt > 20.5 => class: 2, samples: 9, class_counts: {'1': 0, '2': 0}

CR 8: gammagt <= 20.5 and sgpt > 19.5 and mcv <= 87.5 and sgpt > 26.5 => class: 1, samples: 5, class_counts: {'1': 1, '2': 0}

CR 9: gammagt <= 20.5 and sgpt > 19.5 and mcv > 87.5 and mcv <= 94.5 and alkphos <= 58.5 => class: 1, samples: 8, class_counts: {'1': 0, '2': 0}

CR 10: gammagt <= 20.5 and sgpt > 19.5 and mcv > 87.5 and mcv <= 94.5 and alkphos > 58.5 => class: 1, samples: 29, class_counts: {'1': 0, '2': 0}

CR 11: gammagt <= 20.5 and sgpt > 19.5 and mcv > 87.5 and mcv > 94.5 => class: 1, samples: 4, class_counts: {'1': 0, '2': 0}

CR 12: gammagt > 20.5 and drinks <= 5.5 and gammagt <= 35.5 and gammagt <= 26.5 and gammagt <= 22.5 => class: 2, samples: 8, class_counts: {'1': 0, '2': 0}

CR 13: gammagt > 20.5 and drinks <= 5.5 and gammagt <= 35.5 and gammagt <= 26.5 and gammagt > 22.5 => class: 2, samples: 16, class_counts: {'1': 0, '2': 1}

CR 14: gammagt > 20.5 and drinks <= 5.5 and gammagt <= 35.5 and gammagt > 26.5 and alkphos <= 57 => class: 2, samples: 10, class_counts: {'1': 0, '2': 0}

CR 15: gammagt > 20.5 and drinks <= 5.5 and gammagt <= 35.5 and gammagt > 26.5 and alkphos > 57 => class: 1, samples: 16, class_counts: {'1': 0, '2': 0}

CR 16: gammagt > 20.5 and drinks <= 5.5 and gammagt > 35.5 and sgot <= 24.5 and sgot <= 21.5 => class: 2, samples: 11, class_counts: {'1': 0, '2': 1}

CR 17: gammagt > 20.5 and drinks <= 5.5 and gammagt > 35.5 and sgot <= 24.5 and sgot > 21.5 => class: 2, samples: 9, class_counts: {'1': 0, '2': 0}

CR 18: gammagt > 20.5 and drinks <= 5.5 and gammagt > 35.5 and sgot > 24.5 => class: 2, samples: 27, class_counts: {'1': 0, '2': 1}

CR 19: gammagt > 20.5 and drinks > 5.5 and sgpt <= 25.5 and gammagt <= 53.5 => class: 2, samples: 6, class_counts: {'1': 0, '2': 1}

CR 20: gammagt > 20.5 and drinks > 5.5 and sgpt <= 25.5 and gammagt > 53.5 => class: 2, samples: 5, class_counts: {'1': 0, '2': 0}

CR 21: gammagt > 20.5 and drinks > 5.5 and sgpt > 25.5 and gammagt <= 36.5 => class: 1, samples: 9, class_counts: {'1': 1, '2': 0}

CR 22: gammagt > 20.5 and drinks > 5.5 and sgpt > 25.5 and gammagt > 36.5 and drinks <= 14 => class: 2, samples: 23, class_counts: {'1': 0, '2': 0}

CR 23: gammagt > 20.5 and drinks > 5.5 and sgpt > 25.5 and gammagt > 36.5 and drinks > 14 => class: 1, samples: 3, class_counts: {'1': 1, '2': 0}
