
CR 0: A9 != f and A10 != f and A15 <= 148.5 and A8 <= 0.6475 and A14 <= 206 => class: -, samples: 9, class_counts: {'+': 0, '-': 0}

CR 1: A9 != f and A10 != f and A15 <= 148.5 and A8 <= 0.6475 and A14 > 206 => class: +, samples: 5, class_counts: {'+': 0, '-': 0}

CR 2: A9 != f and A10 != f and A15 <= 148.5 and A8 > 0.6475 and A6 != k => class: +, samples: 45, class_counts: {'+': 0, '-': 0}

CR 3: A9 != f and A10 != f and A15 <= 148.5 and A8 > 0.6475 and A6 = k => class: -, samples: 3, class_counts: {'+': 0, '-': 1}

CR 4: A9 != f and A10 != f and A15 > 148.5 and A3 <= 1.02 and A14 <= 214 => class: +, samples: 7, class_counts: {'+': 0, '-': 0}

CR 5: A9 != f and A10 != f and A15 > 148.5 and A3 <= 1.02 and A14 > 214 => class: +, samples: 12, class_counts: {'+': 1, '-': 0}

CR 6: A9 != f and A10 != f and A15 > 148.5 and A3 > 1.02 and A6 != q => class: +, samples: 63, class_counts: {'+': 1, '-': 0}

CR 7: A9 != f and A10 != f and A15 > 148.5 and A3 > 1.02 and A6 = q => class: +, samples: 16, class_counts: {'+': 0, '-': 0}

CR 8: A9 != f and A10 = f and A14 <= 96 and A4 != u and A2 <= 28.415 => class: +, samples: 3, class_counts: {'+': 1, '-': 0}

CR 9: A9 != f and A10 = f and A14 <= 96 and A4 != u and A2 > 28.415 => class: -, samples: 4, class_counts: {'+': 0, '-': 0}

CR 10: A9 != f and A10 = f and A14 <= 96 and A4 = u and A6 != i => class: +, samples: 17, class_counts: {'+': 1, '-': 0}

CR 11: A9 != f and A10 = f and A14 <= 96 and A4 = u and A6 = i => class: +, samples: 3, class_counts: {'+': 0, '-': 0}

CR 12: A9 != f and A10 = f and A14 > 96 and A15 <= 125 and A15 <= 0.5 => class: -, samples: 42, class_counts: {'+': 0, '-': 0}

CR 13: A9 != f and A10 = f and A14 > 96 and A15 <= 125 and A15 > 0.5 => class: -, samples: 6, class_counts: {'+': 0, '-': 1}

CR 14: A9 != f and A10 = f and A14 > 96 and A15 > 125 and A4 != u => class: +, samples: 4, class_counts: {'+': 0, '-': 0}

CR 15: A9 != f and A10 = f and A14 > 96 and A15 > 125 and A4 = u => class: +, samples: 8, class_counts: {'+': 1, '-': 0}

CR 16: A9 = f and A13 != p and A3 <= 0.1675 and A14 <= 224 and A2 <= 18.415 => class: -, samples: 3, class_counts: {'+': 0, '-': 0}

CR 17: A9 = f and A13 != p and A3 <= 0.1675 and A14 <= 224 and A2 > 18.415 => class: -, samples: 9, class_counts: {'+': 0, '-': 1}

CR 18: A9 = f and A13 != p and A3 <= 0.1675 and A14 > 224 => class: +, samples: 4, class_counts: {'+': 0, '-': 0}

CR 19: A9 = f and A13 != p and A3 > 0.1675 and A2 <= 33.625 => class: -, samples: 155, class_counts: {'+': 0, '-': 1}

CR 20: A9 = f and A13 != p and A3 > 0.1675 and A2 > 33.625 and A14 <= 276.5 => class: -, samples: 42, class_counts: {'+': 0, '-': 0}

CR 21: A9 = f and A13 != p and A3 > 0.1675 and A2 > 33.625 and A14 > 276.5 => class: -, samples: 16, class_counts: {'+': 0, '-': 0}

CR 22: A9 = f and A13 = p and A2 <= 24.375 => class: +, samples: 3, class_counts: {'+': 0, '-': 0}

CR 23: A9 = f and A13 = p and A2 > 24.375 => class: +, samples: 4, class_counts: {'+': 0, '-': 0}
