
CR 0: IF alm1 < 0.35 AND gvh < 0.56 THEN class = cp (p=71, n=1, P=97, N=138)

CR 1: IF alm1 < 0.39 AND gvh < 0.56 THEN class = cp (p=81, n=2, P=97, N=138)

CR 2: IF alm1 < 0.41 AND mcg < 0.66 AND gvh < 0.77 AND aac < 0.59 AND alm2 >= 0.22 THEN class = cp (p=81, n=3, P=97, N=138)

CR 3: IF alm1 < 0.47 AND mcg < 0.55 THEN class = cp (p=85, n=1, P=97, N=138)

CR 4: IF mcg < 0.45 AND alm1 < 0.55 AND gvh < 0.58 THEN class = cp (p=75, n=1, P=97, N=138)

CR 5: IF alm1 >= 0.61 AND mcg < 0.61 AND gvh >= 0.32 AND lip < 0.74 THEN class = im (p=40, n=1, P=57, N=178)

CR 6: IF alm1 >= 0.61 AND mcg < 0.72 AND lip < 0.74 AND gvh >= 0.32 THEN class = im (p=49, n=7, P=57, N=178)

CR 7: IF alm1 >= 0.61 AND mcg < 0.85 AND gvh >= 0.32 AND lip < 0.74 AND gvh < 0.70 THEN class = im (p=53, n=16, P=57, N=178)

CR 8: IF alm1 >= 0.57 AND lip < 0.74 AND gvh >= 0.32 AND gvh < 0.70 THEN class = im (p=56, n=21, P=57, N=178)

CR 9: IF lip >= 0.74 AND aac < 0.52 AND mcg < 0.76 THEN class = imL (p=2, n=0, P=2, N=233)

CR 10: IF alm2 >= 0.79 AND alm1 < 0.77 AND mcg < 0.66 AND mcg >= 0.55 THEN class = imS (p=1, n=0, P=1, N=234)

CR 11: IF mcg >= 0.79 AND alm1 >= 0.72 THEN class = imU (p=8, n=0, P=24, N=211)

CR 12: IF mcg >= 0.74 AND alm1 >= 0.56 AND mcg < 0.82 THEN class = imU (p=8, n=0, P=24, N=211)

CR 13: IF alm2 >= 0.73 AND mcg >= 0.61 AND gvh >= 0.41 AND alm1 < 0.88 AND mcg < 0.89 THEN class = imU (p=13, n=3, P=24, N=211)

CR 14: IF alm2 >= 0.60 AND mcg >= 0.48 AND alm1 < 0.80 AND aac < 0.69 AND gvh < 0.63 THEN class = imU (p=19, n=14, P=24, N=211)

CR 15: IF aac < 0.11 AND mcg < 0.59 THEN class = imU (p=1, n=0, P=24, N=211)

CR 16: IF aac >= 0.74 THEN class = om (p=7, n=0, P=13, N=222)

CR 17: IF aac >= 0.56 AND alm2 < 0.38 AND mcg >= 0.53 AND lip < 0.74 THEN class = om (p=10, n=1, P=13, N=222)

CR 18: IF gvh >= 0.68 AND mcg < 0.62 THEN class = om (p=3, n=0, P=13, N=222)

CR 19: IF lip >= 0.74 AND alm2 < 0.44 AND chg < 0.75 THEN class = omL (p=4, n=0, P=4, N=231)

CR 20: IF gvh >= 0.77 AND aac < 0.55 THEN class = pp (p=14, n=0, P=37, N=198)

CR 21: IF gvh >= 0.70 AND aac < 0.62 AND alm1 >= 0.35 AND alm1 < 0.64 AND gvh < 0.88 THEN class = pp (p=17, n=0, P=37, N=198)

CR 22: IF gvh >= 0.64 AND aac < 0.49 AND mcg >= 0.62 AND alm1 >= 0.36 THEN class = pp (p=19, n=0, P=37, N=198)

CR 23: IF gvh >= 0.58 AND alm1 < 0.53 AND aac < 0.68 AND alm1 >= 0.35 THEN class = pp (p=25, n=0, P=37, N=198)

CR 24: IF mcg >= 0.62 AND aac < 0.51 AND alm2 < 0.57 AND lip < 0.74 THEN class = pp (p=27, n=2, P=37, N=198)

CR 25: IF alm1 < 0.57 AND mcg >= 0.32 AND alm1 >= 0.28 AND gvh >= 0.39 AND aac < 0.65 THEN class = pp (p=36, n=35, P=37, N=198)
