
CR 0: IF cp = {2} AND oldpeak <= 0.00 AND age >= 36.00 THEN class = 0 (p=56, n=0, P=127, N=78)

CR 1: IF cp = {2} AND oldpeak <= 0.00 THEN class = 0 (p=63, n=1, P=127, N=78)

CR 2: IF cp = {2} AND oldpeak <= 1.00 THEN class = 0 (p=69, n=2, P=127, N=78)

CR 3: IF oldpeak <= 0.90 AND exang = {0} AND age <= 62.50 AND thalach >= 95.00 THEN class = 0 (p=104, n=15, P=127, N=78)

CR 4: IF exang = {0} AND sex = {0} AND trestbps <= 132.50 THEN class = 0 (p=31, n=1, P=127, N=78)

CR 5: IF sex = {0} AND thalach >= 109.00 AND trestbps >= 104.00 AND fbs = {0} AND trestbps <= 150.00 THEN class = 0 (p=33, n=3, P=127, N=78)

CR 6: IF oldpeak <= 1.00 AND thalach >= 124.50 AND trestbps >= 120.00 AND chol <= 439.00 THEN class = 0 (p=81, n=15, P=127, N=78)

CR 7: IF slope = {2} AND sex = {1} AND thalach <= 156.50 AND fbs = {0} THEN class = 1 (p=38, n=0, P=78, N=127)

CR 8: IF slope = {2} AND sex = {1} THEN class = 1 (p=44, n=2, P=78, N=127)

CR 9: IF slope = {2} AND cp = {4} AND oldpeak >= 0.90 AND age <= 60.50 THEN class = 1 (p=41, n=3, P=78, N=127)

CR 10: IF exang = {1} AND sex = {1} AND cp = {4} THEN class = 1 (p=39, n=2, P=78, N=127)

CR 11: IF cp = {4} AND sex = {1} AND thalach <= 155.50 AND age <= 55.50 AND trestbps >= 116.00 THEN class = 1 (p=43, n=6, P=78, N=127)

CR 12: IF cp = {4} AND sex = {1} AND chol >= 187.50 AND chol <= 293.50 THEN class = 1 (p=37, n=6, P=78, N=127)

CR 13: IF thalach <= 140.00 AND trestbps >= 122.50 AND age >= 48.00 AND chol >= 209.00 AND trestbps <= 170.00 THEN class = 1 (p=31, n=10, P=78, N=127)

CR 14: IF chol >= 221.50 AND thalach <= 170.00 AND age >= 30.50 AND age <= 56.00 AND trestbps <= 185.00 THEN class = 1 (p=48, n=54, P=78, N=127)
