
CR 0: odor != n and stalk-root != b and odor != p and odor != m => class: e, samples: 477, class_counts: {'e': 1, 'p': 0}

CR 1: odor != n and stalk-root != b and odor != p and odor = m => class: p, samples: 29, class_counts: {'e': 0, 'p': 1}

CR 2: odor != n and stalk-root != b and odor = p => class: p, samples: 168, class_counts: {'e': 0, 'p': 1}

CR 3: odor != n and stalk-root = b and odor != a and odor != l => class: p, samples: 2457, class_counts: {'e': 0, 'p': 1}

CR 4: odor != n and stalk-root = b and odor != a and odor = l => class: e, samples: 29, class_counts: {'e': 1, 'p': 0}

CR 5: odor != n and stalk-root = b and odor = a => class: e, samples: 31, class_counts: {'e': 1, 'p': 0}

CR 6: odor = n and spore-print-color != r and stalk-surface-below-ring != y and gill-size != n => class: e, samples: 2270, class_counts: {'e': 1, 'p': 0}

CR 7: odor = n and spore-print-color != r and stalk-surface-below-ring != y and gill-size = n and bruises? != f => class: p, samples: 5, class_counts: {'e': 0, 'p': 1}

CR 8: odor = n and spore-print-color != r and stalk-surface-below-ring != y and gill-size = n and bruises? = f => class: e, samples: 133, class_counts: {'e': 1, 'p': 0}

CR 9: odor = n and spore-print-color != r and stalk-surface-below-ring = y and ring-type != p => class: p, samples: 27, class_counts: {'e': 0, 'p': 1}

CR 10: odor = n and spore-print-color != r and stalk-surface-below-ring = y and ring-type = p => class: e, samples: 11, class_counts: {'e': 1, 'p': 0}

CR 11: odor = n and spore-print-color = r => class: p, samples: 49, class_counts: {'e': 0, 'p': 1}
