
CR 0: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row <= 159.5 and hue-mean <= -1.85084 and rawred-mean <= 24.8334 => class: foliage, samples: 408, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 0, 'window': 0}

CR 1: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row <= 159.5 and hue-mean <= -1.85084 and rawred-mean > 24.8334 => class: cement, samples: 191, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 0, 'window': 0}

CR 2: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row <= 159.5 and hue-mean > -1.85084 and saturation-mean <= 0.294102 => class: window, samples: 56, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 0, 'window': 0}

CR 3: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row <= 159.5 and hue-mean > -1.85084 and saturation-mean > 0.294102 => class: brickface, samples: 252, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 0, 'window': 0}

CR 4: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row > 159.5 and intensity-mean <= 24.6482 and exblue-mean <= 11.0556 => class: grass, samples: 3, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 0, 'window': 0}

CR 5: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row > 159.5 and intensity-mean <= 24.6482 and exblue-mean > 11.0556 => class: cement, samples: 4, class_counts: {'brickface': 0, 'cement': 1, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 0, 'window': 0}

CR 6: intensity-mean <= 82.9815 and hue-mean <= 0.64353 and region-centroid-row > 159.5 and intensity-mean > 24.6482 => class: path, samples: 229, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 1, 'sky': 0, 'window': 0}

CR 7: intensity-mean <= 82.9815 and hue-mean > 0.64353 => class: grass, samples: 233, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 1, 'path': 0, 'sky': 0, 'window': 0}

CR 8: intensity-mean > 82.9815 => class: sky, samples: 241, class_counts: {'brickface': 0, 'cement': 0, 'foliage': 0, 'grass': 0, 'path': 0, 'sky': 1, 'window': 0}
