
CR 0: nbumps <= 1.5 and gimpuls <= 1342 and genergy <= 20755 and gimpuls <= 772.5 and senergy <= 25 => class: 0, samples: 597, class_counts: {'0': 0, '1': 0}

CR 1: nbumps <= 1.5 and gimpuls <= 1342 and genergy <= 20755 and gimpuls <= 772.5 and senergy > 25 => class: 0, samples: 128, class_counts: {'0': 0, '1': 0}

CR 2: nbumps <= 1.5 and gimpuls <= 1342 and genergy <= 20755 and gimpuls > 772.5 => class: 0, samples: 5, class_counts: {'0': 0, '1': 0}

CR 3: nbumps <= 1.5 and gimpuls <= 1342 and genergy > 20755 and genergy <= 21230 and seismic != a => class: 0, samples: 6, class_counts: {'0': 0, '1': 0}

CR 4: nbumps <= 1.5 and gimpuls <= 1342 and genergy > 20755 and genergy <= 21230 and seismic = a => class: 0, samples: 8, class_counts: {'0': 0, '1': 0}

CR 5: nbumps <= 1.5 and gimpuls <= 1342 and genergy > 20755 and genergy > 21230 and goimpuls <= -68 => class: 0, samples: 5, class_counts: {'0': 0, '1': 0}

CR 6: nbumps <= 1.5 and gimpuls <= 1342 and genergy > 20755 and genergy > 21230 and goimpuls > -68 => class: 0, samples: 647, class_counts: {'0': 0, '1': 0}

CR 7: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 <= 0.5 and gimpuls <= 1385 => class: 1, samples: 3, class_counts: {'0': 0, '1': 0}

CR 8: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 <= 0.5 and gimpuls > 1385 and genergy <= 56490 => class: 0, samples: 3, class_counts: {'0': 0, '1': 0}

CR 9: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 <= 0.5 and gimpuls > 1385 and genergy > 56490 => class: 0, samples: 33, class_counts: {'0': 0, '1': 0}

CR 10: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 > 0.5 and gimpuls <= 1931.5 and goimpuls <= 1 => class: 1, samples: 7, class_counts: {'0': 0, '1': 1}

CR 11: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 > 0.5 and gimpuls <= 1931.5 and goimpuls > 1 => class: 0, samples: 4, class_counts: {'0': 0, '1': 0}

CR 12: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 > 0.5 and gimpuls > 1931.5 and genergy <= 542500 => class: 0, samples: 3, class_counts: {'0': 1, '1': 0}

CR 13: nbumps <= 1.5 and gimpuls > 1342 and nbumps3 > 0.5 and gimpuls > 1931.5 and genergy > 542500 => class: 0, samples: 3, class_counts: {'0': 0, '1': 0}

CR 14: nbumps > 1.5 and gimpuls <= 740.5 and genergy <= 21025 and genergy <= 19270 and goimpuls <= -30 => class: 0, samples: 15, class_counts: {'0': 1, '1': 0}

CR 15: nbumps > 1.5 and gimpuls <= 740.5 and genergy <= 21025 and genergy <= 19270 and goimpuls > -30 => class: 1, samples: 5, class_counts: {'0': 0, '1': 0}

CR 16: nbumps > 1.5 and gimpuls <= 740.5 and genergy <= 21025 and genergy > 19270 and gimpuls <= 252.5 => class: 1, samples: 4, class_counts: {'0': 0, '1': 1}

CR 17: nbumps > 1.5 and gimpuls <= 740.5 and genergy <= 21025 and genergy > 19270 and gimpuls > 252.5 => class: 0, samples: 4, class_counts: {'0': 0, '1': 0}

CR 18: nbumps > 1.5 and gimpuls <= 740.5 and genergy > 21025 and gimpuls <= 361.5 and nbumps <= 6.5 => class: 0, samples: 70, class_counts: {'0': 0, '1': 0}

CR 19: nbumps > 1.5 and gimpuls <= 740.5 and genergy > 21025 and gimpuls <= 361.5 and nbumps > 6.5 => class: 0, samples: 3, class_counts: {'0': 0, '1': 0}

CR 20: nbumps > 1.5 and gimpuls <= 740.5 and genergy > 21025 and gimpuls > 361.5 and gimpuls <= 392.5 => class: 1, samples: 10, class_counts: {'0': 0, '1': 0}

CR 21: nbumps > 1.5 and gimpuls <= 740.5 and genergy > 21025 and gimpuls > 361.5 and gimpuls > 392.5 => class: 0, samples: 97, class_counts: {'0': 0, '1': 0}

CR 22: nbumps > 1.5 and gimpuls > 740.5 and goimpuls <= 36 and nbumps2 <= 0.5 and genergy <= 376070 => class: 0, samples: 10, class_counts: {'0': 0, '1': 0}

CR 23: nbumps > 1.5 and gimpuls > 740.5 and goimpuls <= 36 and nbumps2 <= 0.5 and genergy > 376070 => class: 0, samples: 12, class_counts: {'0': 1, '1': 0}

CR 24: nbumps > 1.5 and gimpuls > 740.5 and goimpuls <= 36 and nbumps2 > 0.5 and goenergy <= -29.5 => class: 1, samples: 16, class_counts: {'0': 0, '1': 0}

CR 25: nbumps > 1.5 and gimpuls > 740.5 and goimpuls <= 36 and nbumps2 > 0.5 and goenergy > -29.5 => class: 0, samples: 59, class_counts: {'0': 0, '1': 0}

CR 26: nbumps > 1.5 and gimpuls > 740.5 and goimpuls > 36 and seismoacoustic != c and gimpuls <= 777.5 => class: 0, samples: 3, class_counts: {'0': 0, '1': 0}

CR 27: nbumps > 1.5 and gimpuls > 740.5 and goimpuls > 36 and seismoacoustic != c and gimpuls > 777.5 => class: 0, samples: 45, class_counts: {'0': 0, '1': 0}

CR 28: nbumps > 1.5 and gimpuls > 740.5 and goimpuls > 36 and seismoacoustic = c => class: 1, samples: 3, class_counts: {'0': 0, '1': 0}
