
CR 0: IF attribute_35 <= 0.10 THEN class = Mine (p=12, n=0, P=76, N=69)

CR 1: IF attribute_55 >= 0.02 THEN class = Mine (p=7, n=0, P=76, N=69)

CR 2: IF attribute_44 >= 0.43 AND attribute_5 <= 0.13 THEN class = Mine (p=16, n=0, P=76, N=69)

CR 3: IF attribute_54 >= 0.02 AND attribute_2 >= 0.02 THEN class = Mine (p=14, n=0, P=76, N=69)

CR 4: IF attribute_28 >= 0.96 AND attribute_47 >= 0.05 THEN class = Mine (p=17, n=0, P=76, N=69)

CR 5: IF attribute_11 >= 0.22 AND attribute_27 >= 0.81 AND attribute_8 >= 0.07 THEN class = Mine (p=34, n=0, P=76, N=69)

CR 6: IF attribute_11 >= 0.22 AND attribute_16 <= 0.40 AND attribute_47 >= 0.06 THEN class = Mine (p=37, n=0, P=76, N=69)

CR 7: IF attribute_11 >= 0.22 AND attribute_36 <= 0.42 AND attribute_43 >= 0.07 AND attribute_51 >= 0.01 AND attribute_18 <= 0.92 THEN class = Mine (p=39, n=0, P=76, N=69)

CR 8: IF attribute_4 >= 0.06 AND attribute_43 >= 0.24 AND attribute_8 >= 0.03 THEN class = Mine (p=25, n=0, P=76, N=69)

CR 9: IF attribute_12 <= 0.15 AND attribute_26 >= 0.49 AND attribute_25 <= 0.95 THEN class = Rock (p=36, n=0, P=69, N=76)

CR 10: IF attribute_12 <= 0.17 AND attribute_60 >= 0.00 AND attribute_47 <= 0.19 AND attribute_6 >= 0.02 THEN class = Rock (p=38, n=0, P=69, N=76)

CR 11: IF attribute_12 <= 0.20 AND attribute_21 <= 0.80 AND attribute_7 >= 0.02 THEN class = Rock (p=38, n=0, P=69, N=76)

CR 12: IF attribute_11 <= 0.16 AND attribute_59 <= 0.01 THEN class = Rock (p=35, n=0, P=69, N=76)

CR 13: IF attribute_9 <= 0.11 AND attribute_4 <= 0.05 AND attribute_11 <= 0.28 THEN class = Rock (p=33, n=0, P=69, N=76)

CR 14: IF attribute_49 <= 0.03 AND attribute_55 >= 0.00 AND attribute_27 >= 0.47 AND attribute_48 >= 0.01 THEN class = Rock (p=31, n=0, P=69, N=76)

CR 15: IF attribute_37 >= 0.48 AND attribute_45 <= 0.27 AND attribute_59 <= 0.03 THEN class = Rock (p=25, n=0, P=69, N=76)
