
CR 0: middle-middle-square != o and top-left-square != o and bottom-right-square != o => class: positive, samples: 153, class_counts: {'negative': 0, 'positive': 1}

CR 1: middle-middle-square != o and top-left-square != o and bottom-right-square = o and top-right-square != o and bottom-left-square != o => class: positive, samples: 44, class_counts: {'negative': 0, 'positive': 1}

CR 2: middle-middle-square != o and top-left-square != o and bottom-right-square = o and top-right-square != o and bottom-left-square = o => class: negative, samples: 31, class_counts: {'negative': 0, 'positive': 0}

CR 3: middle-middle-square != o and top-left-square != o and bottom-right-square = o and top-right-square = o and middle-right-square != o => class: positive, samples: 25, class_counts: {'negative': 0, 'positive': 0}

CR 4: middle-middle-square != o and top-left-square != o and bottom-right-square = o and top-right-square = o and middle-right-square = o => class: negative, samples: 23, class_counts: {'negative': 1, 'positive': 0}

CR 5: middle-middle-square != o and top-left-square = o and bottom-left-square != o and top-right-square != o => class: positive, samples: 66, class_counts: {'negative': 0, 'positive': 1}

CR 6: middle-middle-square != o and top-left-square = o and bottom-left-square != o and top-right-square = o and top-middle-square != o => class: positive, samples: 18, class_counts: {'negative': 0, 'positive': 0}

CR 7: middle-middle-square != o and top-left-square = o and bottom-left-square != o and top-right-square = o and top-middle-square = o => class: negative, samples: 20, class_counts: {'negative': 1, 'positive': 0}

CR 8: middle-middle-square != o and top-left-square = o and bottom-left-square = o and middle-left-square != o and middle-right-square != b => class: positive, samples: 28, class_counts: {'negative': 0, 'positive': 0}

CR 9: middle-middle-square != o and top-left-square = o and bottom-left-square = o and middle-left-square != o and middle-right-square = b => class: negative, samples: 3, class_counts: {'negative': 0, 'positive': 0}

CR 10: middle-middle-square != o and top-left-square = o and bottom-left-square = o and middle-left-square = o => class: negative, samples: 27, class_counts: {'negative': 1, 'positive': 0}

CR 11: middle-middle-square = o and bottom-right-square != x and top-left-square != x => class: negative, samples: 54, class_counts: {'negative': 1, 'positive': 0}

CR 12: middle-middle-square = o and bottom-right-square != x and top-left-square = x and middle-right-square != x and middle-left-square != o => class: positive, samples: 34, class_counts: {'negative': 0, 'positive': 0}

CR 13: middle-middle-square = o and bottom-right-square != x and top-left-square = x and middle-right-square != x and middle-left-square = o => class: negative, samples: 8, class_counts: {'negative': 0, 'positive': 0}

CR 14: middle-middle-square = o and bottom-right-square != x and top-left-square = x and middle-right-square = x and top-middle-square != x => class: negative, samples: 14, class_counts: {'negative': 0, 'positive': 0}

CR 15: middle-middle-square = o and bottom-right-square != x and top-left-square = x and middle-right-square = x and top-middle-square = x => class: negative, samples: 12, class_counts: {'negative': 0, 'positive': 0}

CR 16: middle-middle-square = o and bottom-right-square = x and bottom-left-square != x and top-right-square != x => class: negative, samples: 27, class_counts: {'negative': 1, 'positive': 0}

CR 17: middle-middle-square = o and bottom-right-square = x and bottom-left-square != x and top-right-square = x and middle-right-square != x => class: negative, samples: 11, class_counts: {'negative': 0, 'positive': 0}

CR 18: middle-middle-square = o and bottom-right-square = x and bottom-left-square != x and top-right-square = x and middle-right-square = x => class: positive, samples: 21, class_counts: {'negative': 0, 'positive': 1}

CR 19: middle-middle-square = o and bottom-right-square = x and bottom-left-square = x and bottom-middle-square != x and middle-left-square != o => class: negative, samples: 14, class_counts: {'negative': 0, 'positive': 0}

CR 20: middle-middle-square = o and bottom-right-square = x and bottom-left-square = x and bottom-middle-square != x and middle-left-square = o => class: negative, samples: 9, class_counts: {'negative': 0, 'positive': 0}

CR 21: middle-middle-square = o and bottom-right-square = x and bottom-left-square = x and bottom-middle-square = x => class: positive, samples: 28, class_counts: {'negative': 0, 'positive': 1}
