
CR 0: IF sex = {female} AND pclass = {1st} THEN class = yes (p=91, n=1, P=486, N=1054)

CR 1: IF pclass = {2nd} AND age = {child} THEN class = yes (p=17, n=0, P=486, N=1054)

CR 2: IF sex = {female} AND pclass = {2nd} THEN class = yes (p=63, n=7, P=486, N=1054)

CR 3: IF sex = {female} THEN class = yes (p=229, n=87, P=486, N=1054)

CR 4: IF pclass = {1st} THEN class = yes (p=137, n=89, P=486, N=1054)

CR 5: IF age = {child} THEN class = yes (p=43, n=39, P=486, N=1054)

CR 6: IF pclass = {2nd} THEN class = yes (p=83, n=104, P=486, N=1054)

CR 7: IF age = {adult} THEN class = yes (p=443, n=1015, P=486, N=1054)

CR 8: IF sex = {male} AND age = {adult} AND pclass = {2nd} THEN class = no (p=97, n=12, P=1054, N=486)

CR 9: IF sex = {male} AND age = {adult} THEN class = no (p=940, n=235, P=1054, N=486)

CR 10: IF sex = {male} THEN class = no (p=967, n=257, P=1054, N=486)

CR 11: IF pclass = {3rd} AND age = {adult} THEN class = no (p=348, n=102, P=1054, N=486)

CR 12: IF pclass = {3rd} THEN class = no (p=387, n=125, P=1054, N=486)

CR 13: IF age = {adult} THEN class = no (p=1015, n=443, P=1054, N=486)
