dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage
anneal.arff,algorithm,3.678461246,3.6784655630000014,3.67917537689209,28,2,1.5,42,0.92,0.3
audiology.arff,algorithm,2.3024396539999996,2.302450844999999,2.3033065795898438,43,0,2.7674418604651163,119,0.96,0.68
auto-mpg.arff,algorithm,16.313574906,16.313534870999998,16.352988243103027,35,0,2.8285714285714287,99,0.86,0.42
autos.arff,algorithm,23.083606679999995,23.083565803,23.21819567680359,31,0,3.0,93,0.92,0.39
balance-scale.arff,algorithm,5.530123799999998,5.5300966589999945,5.532607555389404,53,0,2.9245283018867925,155,0.83,0.26
breast-cancer.arff,algorithm,0.565943984999997,0.5659472809999926,0.56607985496521,28,0,1.9285714285714286,54,0.72,0.29
breast-w.arff,algorithm,4.617345018999998,4.617331392999986,4.620583534240723,12,0,1.4166666666666667,17,0.94,0.86
bupa-liver-disorders.arff,algorithm,11.302185642999994,11.302140649000009,11.343710660934448,44,0,2.75,121,0.86,0.17
car.arff,algorithm,1.7973896150000002,1.7973893739999909,1.7981159687042236,62,0,3.4193548387096775,212,0.72,0.11
cleveland.arff,algorithm,10.188543593000006,10.188497546000008,10.217884302139282,34,0,4.0588235294117645,138,0.75,0.33
contact-lenses.arff,algorithm,0.01632017999999391,0.016322583999993867,0.016319990158081055,5,0,2.4,12,0.97,0.73
credit-a.arff,algorithm,32.581306232,32.58125763999999,32.702874183654785,21,0,2.857142857142857,60,0.79,0.6
credit-g.arff,algorithm,69.838759178,69.83873413100001,70.06197834014893,84,0,3.488095238095238,293,0.83,0.14
cylinder-bands.arff,algorithm,42.41273536600002,42.412707254,42.52430033683777,60,1,2.2666666666666666,136,0.88,0.15
diabetes.arff,algorithm,84.56171335100001,84.56167551099998,84.68312764167786,68,0,2.7058823529411766,184,0.81,0.45
echocardiogram.arff,algorithm,1.7913597479999908,1.791356201000042,1.7915222644805908,5,0,2.2,11,0.85,0.7
ecoli.arff,algorithm,12.086210465000022,12.086166742999978,12.181164264678955,30,0,3.033333333333333,91,0.92,0.68
flag.arff,algorithm,2.918015438999987,2.9179836080000428,2.918653964996338,22,0,3.1363636363636362,69,0.82,0.3
glass.arff,algorithm,11.758481309000047,11.758441313999981,11.795000076293945,24,0,3.5833333333333335,86,0.9,0.43
hayes-roth.arff,algorithm,0.067582386999959,0.06758361999999352,0.06766104698181152,15,0,1.8,27,0.82,0.38
heart-c.arff,algorithm,7.69969947200002,7.699669615999994,7.7644524574279785,19,0,2.3684210526315788,45,0.86,0.49
heart-statlog.arff,algorithm,5.0650068170000395,5.0649639260000185,5.097776889801025,17,0,2.176470588235294,37,0.86,0.51
hepatitis.arff,algorithm,1.3453330990000154,1.3453308740000125,1.3455402851104736,12,0,1.8333333333333333,22,0.91,0.45
horse-colic.arff,algorithm,4.752420422,4.752379103999999,4.755592346191406,13,0,2.6153846153846154,34,0.82,0.43
hungarian-heart-disease.arff,algorithm,4.15024156000004,4.150227894000011,4.15231466293335,15,0,2.4,36,0.82,0.5
hypothyroid.arff,algorithm,54.74384464000002,54.74384191500002,54.91721153259277,24,0,1.8333333333333333,44,0.95,0.66
ionosphere.arff,algorithm,29.214985179999985,29.214948873000026,29.27986478805542,10,0,1.7,17,0.91,0.59
iris.arff,algorithm,0.58028014599995,0.5802828610000006,0.5802862644195557,7,0,2.4285714285714284,17,0.94,0.79
kdd-synthetic-control.arff,algorithm,500.663073526,500.663024956,502.1887004375458,43,0,1.697674418604651,73,0.96,0.41
kr-vs-kp.arff,algorithm,6.696135488999971,6.696141820999969,6.721222400665283,25,0,2.8,70,0.91,0.21
labor.arff,algorithm,0.15602360299999418,0.15603490499995587,0.1560356616973877,5,0,1.2,6,0.96,0.55
lymph.arff,algorithm,0.30172653700003593,0.30172633600000154,0.30173349380493164,9,0,1.6666666666666667,15,0.88,0.65
mammographic-masses.arff,algorithm,13.10659762499995,13.106557879999968,13.138161182403564,32,0,2.15625,69,0.78,0.64
mushroom.arff,algorithm,2.769110459999979,2.769117594000022,2.7691338062286377,8,2,1.0,8,0.97,0.39
primary-tumor.arff,algorithm,1.2499356590000161,1.2499550649999946,1.25022292137146,53,0,4.566037735849057,242,0.54,0.52
prnn-synth.arff,algorithm,2.0265428260000817,2.0265369149999515,2.0265910625457764,15,0,1.4,21,0.89,0.73
segment.arff,algorithm,1849.115930687,1849.115880544,1854.911979675293,96,0,3.1354166666666665,301,0.92,0.48
seismic-bumps.arff,algorithm,164.89081970100005,164.89078805099962,165.5848090648651,85,0,2.4235294117647057,206,0.77,0.48
sick-euthyroid.arff,algorithm,75.20242987700021,75.20242853400032,75.42988181114197,20,0,3.0,60,0.86,0.59
sonar.arff,algorithm,76.97314547999986,76.97310846000028,77.12733602523804,21,1,1.380952380952381,29,0.91,0.34
soybean.arff,algorithm,4.702072201000192,4.702050901999883,4.729640483856201,40,0,2.925,117,0.92,0.65
splice.arff,algorithm,61.69390384799999,61.693908887999896,61.76694416999817,50,0,2.28,114,0.87,0.24
tic-tac-toe.arff,algorithm,2.585994619000303,2.585986373000196,2.616513967514038,49,0,3.2448979591836733,159,0.94,0.09
titanic.arff,algorithm,0.430636183000388,0.4306439169999976,0.4306328296661377,16,0,1.5625,25,0.74,0.39
vehicle.arff,algorithm,183.59653935100005,183.59649422599978,184.2766330242157,107,0,3.485981308411215,373,0.86,0.2
vote.arff,algorithm,0.26947310199966523,0.26948384199977227,0.26955461502075195,6,0,1.1666666666666667,7,0.94,0.8
wine.arff,algorithm,5.4091163889997915,5.409069570999691,5.439220428466797,9,0,1.4444444444444444,13,0.96,0.82
yeast.arff,algorithm,116.77375071300003,116.7737111890001,117.07592582702637,202,0,4.485148514851486,906,0.7,0.33
zoo.arff,algorithm,0.05842257199992673,0.058425178000106825,0.05842185020446777,11,0,2.5454545454545454,28,1.0,0.72
