
CR 0: IF persons = {2} THEN class = unacc (p=576, n=0, P=1210, N=518)

CR 1: IF safety = {low} THEN class = unacc (p=576, n=0, P=1210, N=518)

CR 2: IF lug_boot = {small} THEN class = unacc (p=450, n=126, P=1210, N=518)

CR 3: IF safety = {high} AND persons = {4} AND lug_boot = {small} THEN class = acc (p=40, n=24, P=384, N=1344)

CR 4: IF safety = {high} AND persons = {4} THEN class = acc (p=108, n=84, P=384, N=1344)

CR 5: IF safety = {high} AND persons = {more} THEN class = acc (p=96, n=96, P=384, N=1344)

CR 6: IF persons = {4} AND safety = {med} AND lug_boot = {big} THEN class = acc (p=40, n=24, P=384, N=1344)

CR 7: IF persons = {4} AND safety = {med} THEN class = acc (p=90, n=102, P=384, N=1344)

CR 8: IF persons = {more} AND safety = {med} AND lug_boot = {big} THEN class = acc (p=40, n=24, P=384, N=1344)

CR 9: IF persons = {more} AND safety = {med} THEN class = acc (p=90, n=102, P=384, N=1344)

CR 10: IF safety = {high} AND buying = {low} AND lug_boot = {big} AND persons = {4} THEN class = vgood (p=12, n=4, P=65, N=1663)

CR 11: IF safety = {high} AND buying = {low} AND lug_boot = {big} AND persons = {more} THEN class = vgood (p=12, n=4, P=65, N=1663)

CR 12: IF safety = {high} AND buying = {low} AND persons = {more} AND lug_boot = {med} THEN class = vgood (p=9, n=7, P=65, N=1663)

CR 13: IF safety = {high} AND buying = {low} AND persons = {4} THEN class = vgood (p=18, n=30, P=65, N=1663)

CR 14: IF safety = {high} AND lug_boot = {big} AND buying = {med} AND maint = {low} THEN class = vgood (p=8, n=4, P=65, N=1663)

CR 15: IF safety = {high} AND lug_boot = {big} AND buying = {med} AND maint = {med} THEN class = vgood (p=8, n=4, P=65, N=1663)

CR 16: IF safety = {high} AND persons = {more} AND buying = {med} AND lug_boot = {med} THEN class = vgood (p=6, n=10, P=65, N=1663)

CR 17: IF buying = {low} AND maint = {low} AND safety = {med} AND lug_boot = {big} THEN class = good (p=8, n=4, P=69, N=1659)

CR 18: IF buying = {low} AND maint = {low} AND persons = {4} AND safety = {high} THEN class = good (p=6, n=6, P=69, N=1659)

CR 19: IF buying = {low} AND maint = {low} AND persons = {more} THEN class = good (p=11, n=25, P=69, N=1659)

CR 20: IF buying = {low} AND maint = {med} AND safety = {med} AND lug_boot = {big} THEN class = good (p=8, n=4, P=69, N=1659)

CR 21: IF buying = {low} AND maint = {med} AND persons = {4} AND safety = {high} THEN class = good (p=6, n=6, P=69, N=1659)

CR 22: IF buying = {low} AND maint = {med} AND persons = {more} THEN class = good (p=11, n=25, P=69, N=1659)

CR 23: IF maint = {low} AND buying = {med} AND safety = {med} AND lug_boot = {big} THEN class = good (p=8, n=4, P=69, N=1659)

CR 24: IF maint = {low} AND buying = {med} AND persons = {4} AND safety = {high} THEN class = good (p=6, n=6, P=69, N=1659)

CR 25: IF maint = {low} AND buying = {med} AND persons = {more} THEN class = good (p=11, n=25, P=69, N=1659)

CR 26: IF safety = {med} AND persons = {4} THEN class = good (p=18, n=174, P=69, N=1659)
