
CR 0: IF alm1 <= 0.35 THEN class = cp (p=102, n=5, P=143, N=193)

CR 1: IF alm1 <= 0.37 THEN class = cp (p=110, n=10, P=143, N=193)

CR 2: IF alm1 <= 0.38 THEN class = cp (p=115, n=12, P=143, N=193)

CR 3: IF alm1 <= 0.41 THEN class = cp (p=120, n=27, P=143, N=193)

CR 4: IF alm1 <= 0.44 THEN class = cp (p=127, n=34, P=143, N=193)

CR 5: IF alm1 <= 0.46 THEN class = cp (p=132, n=38, P=143, N=193)

CR 6: IF mcg <= 0.44 AND alm1 <= 0.56 THEN class = cp (p=114, n=5, P=143, N=193)

CR 7: IF alm1 >= 0.60 AND mcg <= 0.61 THEN class = im (p=54, n=4, P=77, N=259)

CR 8: IF alm1 >= 0.60 AND mcg <= 0.63 AND gvh >= 0.32 AND lip <= 0.48 AND alm2 >= 0.21 THEN class = im (p=57, n=6, P=77, N=259)

CR 9: IF alm1 >= 0.60 AND mcg <= 0.71 AND gvh <= 0.69 AND lip <= 0.48 AND gvh >= 0.32 THEN class = im (p=65, n=13, P=77, N=259)

CR 10: IF alm1 >= 0.60 AND mcg <= 0.83 AND gvh >= 0.34 AND gvh <= 0.70 AND lip <= 0.48 THEN class = im (p=70, n=25, P=77, N=259)

CR 11: IF alm2 >= 0.47 AND gvh <= 0.70 AND aac <= 0.74 AND gvh >= 0.43 THEN class = im (p=51, n=32, P=77, N=259)

CR 12: IF mcg >= 0.84 AND mcg <= 0.85 THEN class = imS (p=1, n=0, P=2, N=334)

CR 13: IF mcg >= 0.62 AND mcg <= 0.63 AND gvh <= 0.49 AND gvh >= 0.48 AND aac <= 0.67 THEN class = imS (p=1, n=0, P=2, N=334)

CR 14: IF chg >= 0.75 THEN class = imL (p=1, n=0, P=2, N=334)

CR 15: IF lip >= 0.74 AND gvh <= 0.43 THEN class = imL (p=1, n=0, P=2, N=334)

CR 16: IF mcg >= 0.78 AND alm1 >= 0.72 THEN class = imU (p=13, n=0, P=35, N=301)

CR 17: IF mcg >= 0.76 AND alm1 >= 0.56 AND mcg <= 0.89 AND gvh >= 0.38 THEN class = imU (p=16, n=1, P=35, N=301)

CR 18: IF alm2 >= 0.61 AND mcg >= 0.64 AND alm2 <= 0.91 AND gvh <= 0.55 AND aac <= 0.70 THEN class = imU (p=25, n=10, P=35, N=301)

CR 19: IF alm2 >= 0.61 AND mcg >= 0.58 AND gvh <= 0.60 AND alm2 <= 0.81 AND mcg <= 0.89 THEN class = imU (p=26, n=14, P=35, N=301)

CR 20: IF aac >= 0.76 THEN class = om (p=9, n=0, P=20, N=316)

CR 21: IF aac >= 0.71 AND mcg >= 0.42 AND mcg <= 0.81 THEN class = om (p=14, n=0, P=20, N=316)

CR 22: IF aac >= 0.56 AND alm2 <= 0.39 AND mcg >= 0.47 AND lip <= 0.48 THEN class = om (p=17, n=1, P=20, N=316)

CR 23: IF lip >= 0.74 AND alm2 <= 0.44 AND chg <= 0.75 THEN class = omL (p=5, n=0, P=5, N=331)

CR 24: IF gvh >= 0.77 AND aac <= 0.55 THEN class = pp (p=19, n=0, P=52, N=284)

CR 25: IF gvh >= 0.70 AND aac <= 0.49 AND alm1 >= 0.35 THEN class = pp (p=23, n=0, P=52, N=284)

CR 26: IF gvh >= 0.64 AND aac <= 0.50 AND alm1 <= 0.68 AND alm1 >= 0.35 THEN class = pp (p=30, n=0, P=52, N=284)

CR 27: IF gvh >= 0.58 AND aac <= 0.51 AND alm1 <= 0.68 AND alm1 >= 0.35 THEN class = pp (p=35, n=0, P=52, N=284)

CR 28: IF gvh >= 0.58 AND aac <= 0.64 AND alm1 <= 0.66 AND alm1 >= 0.35 AND gvh <= 0.88 THEN class = pp (p=40, n=0, P=52, N=284)

CR 29: IF gvh >= 0.54 AND aac <= 0.49 AND mcg >= 0.54 AND lip <= 0.48 AND alm1 <= 0.74 THEN class = pp (p=39, n=3, P=52, N=284)
