dataset,model,CR_number,ER_number,CR,RR,ER,GACE,RI,MY_MEASURE
anneal.arff,algorithm_mincov_5_threshold_0_6,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_5_threshold_0_6,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_5_threshold_0_6,2,0,"IF width >= 1,410.05 THEN class = 2 (p=14, n=2, P=99, N=799)","IF strength >= 450.00 THEN class = 2 (p=19, n=11, P=99, N=799)","IF width >= 1,410.05 AND strength >= 450.00 THEN class = 3 (p=1, n=0, P=684, N=214)",0.004197406929772705,3.6638940727211673,0.4457070707070707
anneal.arff,algorithm_mincov_5_threshold_0_6,3,0,"IF strength >= 450.00 THEN class = 2 (p=19, n=11, P=99, N=799)","IF width >= 1,410.05 THEN class = 2 (p=14, n=2, P=99, N=799)","IF strength >= 450.00 AND width >= 1,410.05 THEN class = 3 (p=1, n=0, P=684, N=214)",0.004060435485422541,1.6427770226211675,0.3686868686868687
anneal.arff,algorithm_mincov_5_threshold_0_7,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_5_threshold_0_7,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_5_threshold_0_8,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_5_threshold_0_8,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_5_threshold_0_9,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_5_threshold_0_9,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_0_1_threshold_0_6,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_0_1_threshold_0_6,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_0_1_threshold_0_6,2,0,"IF width >= 1,410.05 THEN class = 2 (p=14, n=2, P=99, N=799)","IF strength >= 450.00 THEN class = 2 (p=19, n=11, P=99, N=799)","IF width >= 1,410.05 AND strength >= 450.00 THEN class = 3 (p=1, n=0, P=684, N=214)",0.004197406929772705,3.6638940727211673,0.4457070707070707
