
CR 0: IF ys <= 0.35 THEN class = 0 (p=68, n=2, P=125, N=125)

CR 1: IF ys <= 0.37 THEN class = 0 (p=73, n=4, P=125, N=125)

CR 2: IF ys <= 0.40 THEN class = 0 (p=79, n=6, P=125, N=125)

CR 3: IF xs <= -0.60 THEN class = 0 (p=47, n=0, P=125, N=125)

CR 4: IF ys <= 0.45 AND xs <= 0.51 THEN class = 0 (p=87, n=6, P=125, N=125)

CR 5: IF ys <= 0.47 AND xs <= 0.44 THEN class = 0 (p=92, n=10, P=125, N=125)

CR 6: IF ys <= 0.50 AND xs <= 0.62 THEN class = 0 (p=107, n=16, P=125, N=125)

CR 7: IF ys <= 0.58 AND xs <= 0.35 THEN class = 0 (p=96, n=17, P=125, N=125)

CR 8: IF ys <= 0.71 AND xs <= 0.34 THEN class = 0 (p=104, n=39, P=125, N=125)

CR 9: IF ys >= 0.61 AND xs >= -0.61 THEN class = 1 (p=86, n=4, P=125, N=125)

CR 10: IF ys >= 0.58 AND xs >= -0.61 THEN class = 1 (p=92, n=6, P=125, N=125)

CR 11: IF ys >= 0.52 AND xs >= -0.49 THEN class = 1 (p=96, n=7, P=125, N=125)

CR 12: IF ys >= 0.50 AND xs >= -0.61 THEN class = 1 (p=106, n=12, P=125, N=125)

CR 13: IF ys >= 0.45 AND xs >= -0.49 THEN class = 1 (p=105, n=16, P=125, N=125)

CR 14: IF ys >= 0.41 AND xs >= -0.49 THEN class = 1 (p=110, n=22, P=125, N=125)

CR 15: IF ys >= 0.37 AND xs >= -0.49 THEN class = 1 (p=115, n=29, P=125, N=125)
