
CR 0: IF sex = {female} THEN class = yes (p=344, n=126, P=711, N=1490)

CR 1: IF pclass = {1st} THEN class = yes (p=203, n=122, P=711, N=1490)

CR 2: IF age = {child} AND pclass = {2nd} THEN class = yes (p=24, n=0, P=711, N=1490)

CR 3: IF age = {child} THEN class = yes (p=57, n=52, P=711, N=1490)

CR 4: IF pclass = {2nd} THEN class = yes (p=118, n=167, P=711, N=1490)

CR 5: IF age = {adult} THEN class = yes (p=654, n=1438, P=711, N=1490)

CR 6: IF sex = {male} AND age = {adult} AND pclass = {2nd} THEN class = no (p=154, n=14, P=1490, N=711)

CR 7: IF sex = {male} AND age = {adult} THEN class = no (p=1329, n=338, P=1490, N=711)

CR 8: IF sex = {male} THEN class = no (p=1364, n=367, P=1490, N=711)

CR 9: IF pclass = {3rd} THEN class = no (p=528, n=178, P=1490, N=711)

CR 10: IF age = {adult} THEN class = no (p=1438, n=654, P=1490, N=711)
