dataset,CR_number,CR,RR,ER,CR_vs_RR_p_value,ER_vs_CR_p_value,ER_vs_RR_p_value
bodyfat.arff,0,"IF Density <= 1.04 AND Weight <= 221.12 AND Hip <= 113.95 THEN class = {29.14} [25.28, 33.00] (p=47, n=3, P=55, N=197)","IF Hip >= 112.15 THEN class = {32.86} [26.02, 39.71] (p=8, n=5, P=52, N=200)","IF Density <= 1.04 AND Weight <= 221.12 AND Hip <= 113.95 AND Hip >= 112.15 THEN class = {43.80} [40.10, 47.50] (p=2, n=0, P=2, N=250)",0.06724883618177481,0.018653142417095325,0.02564102564102564
breasttumor.arff,0,"IF age <= 64.50 AND age >= 60.50 THEN class = {24.89} [15.13, 34.66] (p=19, n=9, P=169, N=117)","IF age <= 61.50 THEN class = {24.78} [14.59, 34.97] (p=158, n=75, P=194, N=92)","IF age <= 64.50 AND age >= 60.50 AND age <= 61.50 THEN class = {14.50} [9.94, 19.06] (p=3, n=1, P=58, N=228)",0.5573214246534082,0.0165660699166315,0.020287574027248057
cholesterol.arff,0,"IF age >= 65.50 AND restecg = {2} THEN class = {277.11} [199.85, 354.37] (p=17, n=1, P=248, N=55)","IF thalach >= 150.50 THEN class = {249.46} [194.79, 304.14] (p=130, n=34, P=231, N=72)","IF age >= 65.50 AND restecg = {2} AND thalach >= 150.50 THEN class = {362.00} [244.93, 479.07] (p=3, n=1, P=142, N=161)",0.430411561316524,0.016815920416761245,0.010672323974629675
cholesterol.arff,1,"IF age >= 65.50 AND num <= 3.50 AND trestbps >= 103.00 AND trestbps <= 179.00 AND trestbps <= 169.00 THEN class = {257.14} [187.51, 326.77] (p=26, n=2, P=258, N=45)","IF thalach >= 151.50 THEN class = {248.34} [193.89, 302.78] (p=123, n=37, P=226, N=77)","IF age >= 65.50 AND num <= 3.50 AND trestbps >= 103.00 AND trestbps <= 179.00 AND trestbps <= 169.00 AND thalach >= 151.50 THEN class = {335.00} [219.50, 450.50] (p=4, n=1, P=207, N=96)",0.8982002458873448,0.012735448329734559,0.020907010415153738
cholesterol.arff,2,"IF trestbps <= 109.00 THEN class = {237.20} [195.54, 278.86] (p=16, n=4, P=196, N=107)","IF thalach >= 169.50 THEN class = {237.65} [192.40, 282.89] (p=42, n=20, P=204, N=99)","IF trestbps <= 109.00 AND thalach >= 169.50 THEN class = {181.33} [152.74, 209.93] (p=2, n=1, P=67, N=236)",0.6535885824147585,0.01929824561403509,0.03433589230212874
cholesterol.arff,3,"IF thalach <= 112.50 AND trestbps >= 123.50 THEN class = {255.44} [216.58, 294.30] (p=13, n=3, P=163, N=140)","IF thal = {3} THEN class = {246.83} [198.28, 295.39] (p=113, n=53, P=208, N=95)","IF thalach <= 112.50 AND trestbps >= 123.50 AND thal = {3} THEN class = {300.67} [285.23, 316.10] (p=2, n=1, P=38, N=265)",0.7194398272468187,0.010526452229104252,0.03816805109159849
cholesterol.arff,4,"IF trestbps >= 151.00 AND thalach <= 149.00 THEN class = {259.32} [218.06, 300.57] (p=15, n=4, P=167, N=136)","IF age <= 56.50 THEN class = {240.38} [195.41, 285.34] (p=113, n=49, P=205, N=98)","IF trestbps >= 151.00 AND thalach <= 149.00 AND age <= 56.50 THEN class = {301.33} [283.18, 319.49] (p=2, n=1, P=42, N=261)",0.13662830616526678,0.025218966771359673,0.02118522275703376
cholesterol.arff,5,"IF trestbps <= 111.00 THEN class = {232.85} [191.77, 273.92] (p=30, n=9, P=192, N=111)","IF thalach >= 169.50 THEN class = {237.65} [192.40, 282.89] (p=42, n=20, P=204, N=99)","IF trestbps <= 111.00 AND thalach >= 169.50 THEN class = {185.25} [159.58, 210.92] (p=3, n=1, P=67, N=236)",0.6627026546369641,0.010876253477006378,0.014859495307987967
cholesterol.arff,6,"IF thalach >= 177.50 THEN class = {234.73} [198.03, 271.43] (p=22, n=8, P=175, N=128)","IF sex = {0} THEN class = {261.75} [197.19, 326.32] (p=73, n=24, P=243, N=60)","IF thalach >= 177.50 AND sex = {0} THEN class = {196.75} [187.10, 206.40] (p=2, n=2, P=37, N=266)",0.08594254621953853,0.012352146501561152,0.008290259955126503
cholesterol.arff,7,"IF thalach >= 162.50 AND age <= 51.50 THEN class = {231.73} [194.08, 269.38] (p=40, n=12, P=182, N=121)","IF trestbps <= 109.00 THEN class = {237.20} [195.54, 278.86] (p=16, n=4, P=196, N=107)","IF thalach >= 162.50 AND age <= 51.50 AND trestbps <= 109.00 THEN class = {185.50} [159.71, 211.29] (p=3, n=1, P=71, N=232)",0.19271532317426732,0.013399717572528733,0.002889576883384933
cholesterol.arff,8,"IF restecg = {2} AND oldpeak <= 1.85 AND thal = {7} AND age >= 42.00 AND thalach >= 129.00 THEN class = {277.17} [208.58, 345.77] (p=22, n=1, P=225, N=78)","IF sex = {0} THEN class = {261.75} [197.19, 326.32] (p=73, n=24, P=243, N=60)","IF restecg = {2} AND oldpeak <= 1.85 AND thal = {7} AND age >= 42.00 AND thalach >= 129.00 AND sex = {0} THEN class = {435.50} [307.00, 564.00] (p=2, n=0, P=34, N=269)",0.4733345606259245,0.0434857317069508,0.04626131337444244
cholesterol.arff,9,"IF thalach >= 150.50 AND age >= 39.50 AND thalach >= 156.50 THEN class = {249.93} [194.20, 305.66] (p=101, n=22, P=233, N=70)","IF age >= 66.50 THEN class = {259.96} [186.51, 333.41] (p=23, n=3, P=262, N=41)","IF thalach >= 150.50 AND age >= 39.50 AND thalach >= 156.50 AND age >= 66.50 THEN class = {340.20} [226.81, 453.59] (p=4, n=1, P=190, N=113)",0.9133500625883165,0.013198544080652594,0.013377845853333532
cholesterol.arff,10,"IF age >= 46.50 AND sex = {1} AND trestbps <= 139.00 THEN class = {242.69} [201.96, 283.41] (p=74, n=28, P=187, N=116)","IF age >= 67.50 THEN class = {245.76} [199.29, 292.24] (p=10, n=7, P=200, N=103)","IF age >= 46.50 AND sex = {1} AND trestbps <= 139.00 AND age >= 67.50 THEN class = {301.00} [282.51, 319.49] (p=1, n=2, P=45, N=258)",0.8105729614415698,0.016541048892028003,0.0139605902113341
compressive.arff,0,"IF Age >= 225.00 THEN class = {46.08} [36.13, 56.02] (p=27, n=6, P=358, N=672)","IF Coarse Aggregate >= 1,094.70 THEN class = {36.98} [15.89, 58.06] (p=34, n=23, P=782, N=248)","IF Age >= 225.00 AND Coarse Aggregate >= 1,094.70 THEN class = {65.48} [57.63, 73.33] (p=1, n=2, P=84, N=946)",0.057464438584833036,0.007775276242661627,0.0232408548772314
compressive.arff,1,"IF Age >= 95.50 THEN class = {45.64} [36.01, 55.28] (p=84, n=30, P=345, N=685)","IF Coarse Aggregate >= 1,111.30 THEN class = {41.92} [21.18, 62.66] (p=25, n=19, P=743, N=287)","IF Age >= 95.50 AND Coarse Aggregate >= 1,111.30 THEN class = {63.50} [55.14, 71.87] (p=4, n=2, P=116, N=914)",0.16474935240653088,0.0003899169152890592,0.0047793693216615085
compressive.arff,2,"IF Age >= 73.00 THEN class = {46.97} [34.22, 59.72] (p=135, n=55, P=421, N=609)","IF Superplasticizer >= 8.04 THEN class = {43.11} [25.61, 60.62] (p=256, n=144, P=628, N=402)","IF Age >= 73.00 AND Superplasticizer >= 8.04 THEN class = {60.75} [49.14, 72.36] (p=28, n=18, P=195, N=835)",0.07805258689810123,4.253121844147633e-15,5.769323508622986e-13
compressive.arff,3,"IF Age <= 5.00 THEN class = {18.84} [9.01, 28.67] (p=92, n=44, P=342, N=688)","IF Cement <= 133.05 THEN class = {19.06} [7.72, 30.40] (p=11, n=12, P=389, N=641)","IF Age <= 5.00 AND Cement <= 133.05 THEN class = {4.68} [2.96, 6.40] (p=3, n=2, P=7, N=1023)",0.1477692291799744,0.00024650188114753785,5.9437130375345475e-05
compressive.arff,4,"IF Age >= 42.00 THEN class = {48.57} [35.12, 62.01] (p=191, n=90, P=428, N=602)","IF Superplasticizer >= 17.20 THEN class = {50.91} [34.64, 67.18] (p=25, n=11, P=464, N=566)","IF Age >= 42.00 AND Superplasticizer >= 17.20 THEN class = {67.43} [59.60, 75.26] (p=6, n=4, P=80, N=950)",0.3744759533574217,2.9846742117321573e-05,8.215663343739267e-05
compressive.arff,5,"IF Age <= 21.00 THEN class = {23.54} [11.15, 35.93] (p=226, n=98, P=491, N=539)","IF Cement <= 158.90 THEN class = {22.63} [12.21, 33.05] (p=80, n=49, P=403, N=627)","IF Age <= 21.00 AND Cement <= 158.90 THEN class = {8.38} [4.75, 12.01] (p=14, n=6, P=61, N=969)",0.12703272150321349,7.790167554263242e-11,3.726757286969877e-11
compressive.arff,6,"IF Superplasticizer >= 15.95 THEN class = {49.99} [33.10, 66.88] (p=42, n=12, P=504, N=526)","IF Age >= 73.00 THEN class = {46.97} [34.22, 59.72] (p=135, n=55, P=421, N=609)","IF Superplasticizer >= 15.95 AND Age >= 73.00 THEN class = {67.16} [60.57, 73.75] (p=6, n=2, P=65, N=965)",0.4118698294519916,0.00043186133856959,6.0628659441339875e-05
