dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_coverage,ibs_train,ibs_test
01_lung.arff,algorithm_rulekit,0.951967564,8.454062641,1.9006898403167725,4,0,1.25,5,0.51,0.14722794486697816,0.15457850379965057
01_lung.arff,algorithm_log_rank,2.517339568999999,2.5310701589999987,2.51747465133667,2,0,1.0,2,0.7,0.14660752325436177,0.1579157160433081
01_lung.arff,algorithm_log_rank_with_exceptions,6.096897514999998,6.100250733999999,6.097331762313843,2,1,1.0,2,0.7,0.14363476698592684,0.15495339546725861
01_lung.arff,survival_tree,0.012714555999998822,0.01973138299999988,0.01272273063659668,28,0,4.857142857142857,136,0.0,0.1225908402489116,0.14532937802698373
02_csb-ch15-lung.arff,algorithm_rulekit,0.23269061800000657,9.948367458,0.47520995140075684,5,0,1.4,7,0.42,0.1381431369853871,0.14516760310019827
02_csb-ch15-lung.arff,algorithm_log_rank,2.6306134310000004,2.632235081999994,2.6308937072753906,2,0,1.0,2,0.69,0.1500849976577966,0.15028072132685583
02_csb-ch15-lung.arff,algorithm_log_rank_with_exceptions,4.238617746000003,4.2400192799999985,4.240196943283081,2,2,1.0,2,0.69,0.145452117932137,0.14718887032410496
02_csb-ch15-lung.arff,survival_tree,0.012024570000001233,0.03641099400000769,0.012024164199829102,32,0,5.0,160,0.0,0.1223918197584894,0.14818760397307223
03_csb-ch07-halibut.arff,algorithm_rulekit,0.09385148900000218,4.047119474999988,0.444638729095459,7,0,3.7142857142857144,26,0.48,0.04991123856806123,0.046163373213498275
03_csb-ch07-halibut.arff,algorithm_log_rank,7.072692637999992,7.078037135000002,7.072812557220459,5,0,3.8,19,0.49,0.050342942696844944,0.046844836751381944
03_csb-ch07-halibut.arff,algorithm_log_rank_with_exceptions,22.097201182000006,22.104241888000004,22.098353147506714,4,1,3.75,15,0.46,0.0783629498587166,0.0653095353073365
03_csb-ch07-halibut.arff,survival_tree,0.008760358999992945,0.026536416999988433,0.008760452270507812,22,0,4.636363636363637,102,0.0,0.038118687947472,0.055299915020140734
04_BHS.arff,algorithm_rulekit,0.06810239200000012,1.727384762000014,0.35352325439453125,4,0,1.5,6,0.46,0.0975856374733488,0.11761305115938049
04_BHS.arff,algorithm_log_rank,4.480093957999998,4.482088857999997,4.480109930038452,3,0,1.6666666666666667,5,0.53,0.08607059734510655,0.13704715592724612
04_BHS.arff,algorithm_log_rank_with_exceptions,17.943675237999997,17.951593066999976,17.943965673446655,3,0,1.6666666666666667,5,0.53,0.08607059734510655,0.13704715592724612
04_BHS.arff,survival_tree,0.00727372100000423,0.00730883599999288,0.007273435592651367,8,0,3.25,26,0.0,0.03542273431218324,0.20455069054151576
05_Rossi.arff,algorithm_rulekit,0.46208718799999815,3.1109578940000233,0.7086775302886963,12,0,2.1666666666666665,26,0.4,0.10366337835195782,0.12839592396123473
05_Rossi.arff,algorithm_log_rank,9.065644684000006,9.069048425000005,9.065648317337036,7,0,3.5714285714285716,25,0.21,0.10980254304009654,0.11840380996106317
05_Rossi.arff,algorithm_log_rank_with_exceptions,42.30011553900002,42.313289972999996,42.312612533569336,7,0,3.5714285714285716,25,0.21,0.10980254304009654,0.11840380996106317
