dataset,CR_number,CR,RR,ER,CR vs ER p_value,RR vs ER p_value,CR vs RR p_value,CR RMST,RR RMST,ER RMST,median_survival_time_CR,median_survival_time_RR,median_survival_time_ER
01_lung.arff,0,"IF Stage4 = {0} THEN survival_status = {1298.0} (p=759, n=0, P=1032, N=0)","IF Cell_Type <= 1.50 THEN survival_status = {1354.0} (p=650, n=0, P=1032, N=0)","IF Stage4 = {0} AND Cell_Type <= 1.50 THEN survival_status = {1627.0} (p=529, n=0, P=1032, N=0)",0.009004553966070694,0.015446361912867412,0.923648114171242,1737.51744173422,1745.2841891610658,1983.1805186767483,1298.0,1354.0,1627.0
02_csb-ch15-lung.arff,0,"IF Stage4 = {0} THEN survival_status = {1298.0} (p=759, n=0, P=1032, N=0)","IF Cell_Type <= 1.50 THEN survival_status = {1354.0} (p=650, n=0, P=1032, N=0)","IF Stage4 = {0} AND Cell_Type <= 1.50 THEN survival_status = {1627.0} (p=529, n=0, P=1032, N=0)",0.009004553966070694,0.015446361912867412,0.923648114171242,1737.51744173422,1745.2841891610658,1983.1805186767483,1298.0,1354.0,1627.0
03_csb-ch07-halibut.arff,0,"IF HANDTIME <= 15.50 THEN survival_status = {40.0} (p=199, n=0, P=294, N=0)","IF LOGCAT >= 4.59 THEN survival_status = {36.8} (p=140, n=0, P=294, N=0)","IF HANDTIME <= 15.50 AND LOGCAT >= 4.59 THEN survival_status = {117.0} (p=88, n=0, P=294, N=0)",0.0162419809675991,0.031034809285219067,0.9735793863978354,130.29977235999314,136.54282532637095,190.75133838383834,40.0,36.8,117.0
05_Rossi.arff,0,"IF age <= 19.50 THEN survival_status = {inf} (p=66, n=0, P=432, N=0)","IF prio >= 8.50 AND emp6 = {no} THEN survival_status = {inf} (p=21, n=0, P=432, N=0)","IF age <= 19.50 AND prio >= 8.50 AND emp6 = {no} THEN survival_status = {14.0} (p=4, n=0, P=432, N=0)",0.0074513652170469236,0.03947324361589277,0.9655117039637349,29.34848484848486,28.0,20.75,inf,inf,14.0
06_unemployed.arff,0,"IF age = {middle} THEN survival_status = {12.0} (p=163, n=0, P=300, N=0)","IF gender = {male} AND birth <= 205.50 THEN survival_status = {11.0} (p=147, n=0, P=300, N=0)","IF age = {middle} AND gender = {male} AND birth <= 205.50 THEN survival_status = {5.0} (p=70, n=0, P=300, N=0)",0.007195942655256693,0.008409337494684088,0.9988523163316816,16.96704997434132,17.399737457337345,11.475354107244357,12.0,11.0,5.0
07_Melanoma.arff,0,"IF thick <= 3.38 AND age >= 14.50 THEN survival_status = {inf} (p=143, n=0, P=205, N=0)","IF age <= 55.50 AND thick <= 12.16 THEN survival_status = {inf} (p=108, n=0, P=205, N=0)","IF thick <= 3.38 AND age >= 14.50 AND age <= 55.50 AND thick <= 12.16 THEN survival_status = {inf} (p=79, n=0, P=205, N=0)",0.04917277375357143,0.04938502616646412,0.8807040558069088,4299.765205043909,4261.451293242562,4809.763395357625,inf,inf,inf
08_mgus.arff,0,"IF age >= 62.50 THEN survival_status = {3318.0} (p=127, n=0, P=241, N=0)","IF hgb <= 12.85 THEN survival_status = {4066.0} (p=100, n=0, P=241, N=0)","IF age >= 62.50 AND hgb <= 12.85 THEN survival_status = {2587.0} (p=57, n=0, P=241, N=0)",0.04112283622888302,0.005287708566592886,0.23643192347868425,3731.112860892388,4025.196534880049,2885.6403508771928,3318.0,4066.0,2587.0
09_std.arff,0,"IF age >= 17.50 AND vagina <= 0.50 AND npartner <= 3.50 AND iinfct >= 1.50 THEN survival_status = {1090.0} (p=466, n=0, P=877, N=0)","IF race = {W} THEN survival_status = {1168.0} (p=292, n=0, P=877, N=0)","IF age >= 17.50 AND vagina <= 0.50 AND npartner <= 3.50 AND iinfct >= 1.50 AND race = {W} THEN survival_status = {inf} (p=179, n=0, P=877, N=0)",0.03807584049828372,0.04331359491239317,0.8700856800528062,894.7745249639102,909.361027600227,1048.2145505642834,1090.0,1168.0,inf
09_std.arff,1,"IF age >= 17.50 AND vagina <= 0.50 AND age <= 42.00 AND iinfct >= 1.50 THEN survival_status = {956.0} (p=469, n=0, P=877, N=0)","IF race = {W} THEN survival_status = {1168.0} (p=292, n=0, P=877, N=0)","IF age >= 17.50 AND vagina <= 0.50 AND age <= 42.00 AND iinfct >= 1.50 AND race = {W} THEN survival_status = {inf} (p=178, n=0, P=877, N=0)",0.030217767939936357,0.045192334220919395,0.9803511392926793,888.6653872562991,909.361027600227,1047.1584463109502,956.0,1168.0,inf
09_std.arff,2,"IF age <= 17.50 THEN survival_status = {400.0} (p=266, n=0, P=877, N=0)","IF dchexam <= 0.50 THEN survival_status = {390.0} (p=48, n=0, P=877, N=0)","IF age <= 17.50 AND dchexam <= 0.50 THEN survival_status = {225.0} (p=18, n=0, P=877, N=0)",0.01551151256672445,0.035645505634717356,0.9680586819336477,423.5262400458565,420.7871130118784,261.207671957672,400.0,390.0,225.0
