dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_coverage
01_BHS.arff,algorithm,31.95388545,31.953898424,31.954041957855225,4,0,2.5,10,0.4
02_lac_selected.arff,algorithm,842.723198918,842.723166749,842.7387866973877,3,2,2.333333333333333,7,0.6
03_przeszczepy.arff,algorithm,225.3131368229997,225.31309047600007,225.31246519088745,2,0,1.0,2,0.5
04_bmt-ch.arff,algorithm,224.61295750999943,224.6129252000001,224.62364149093628,2,0,1.0,2,0.5
05_Melanoma.arff,algorithm,90.09216506600023,90.09213435899984,90.09481763839722,9,1,3.111111111111111,28,0.4
06_cancer.arff,algorithm,137.77128408099998,137.77124469800037,137.77178478240967,11,0,3.636363636363636,40,0.41
07_mgus.arff,algorithm,90.49610282400045,90.49606781799956,90.49866318702698,5,1,2.8,14,0.45
08_csb-ch07-halibut.arff,algorithm,21.084506619000425,21.08447259500008,21.084469079971317,3,1,3.333333333333333,10,0.42
09_unemployed.arff,algorithm,71.57175795100011,71.57172432799962,71.57482099533081,9,1,2.555555555555556,23,0.21
10_pbc.arff,algorithm,975.48161797,975.4815800380002,975.4887113571168,3,1,1.0,3,0.84
12_zinc.arff,algorithm,290.5067618469984,290.506729236,290.5101501941681,3,0,1.6666666666666667,5,0.39
13_Rossi.arff,algorithm,33.77241340799992,33.77240200599954,33.772374391555786,4,1,2.25,9,0.66
14_whas1.arff,algorithm,174.69132361099946,174.691290408,174.6908473968506,3,3,1.0,3,0.66
15_whas500.arff,algorithm,378.4229654289993,378.42293018300006,378.4335632324219,3,2,1.0,3,0.76
16_follic.arff,algorithm,134.38932089300033,134.38931988100012,134.40715098381042,2,1,2.0,4,0.5
17_uis.arff,algorithm,165.83435863600062,165.83431796900004,165.8373851776123,2,1,1.0,2,0.78
18_GBSG2.arff,algorithm,341.14534110599925,341.1453044869995,341.1496365070343,2,1,1.5,3,0.61
19_hd.arff,algorithm,127.72764354599894,127.72761183699912,127.72849631309508,2,0,1.0,2,0.66
20_std.arff,algorithm,116.7871414580004,116.78710993799903,116.80237317085266,6,3,3.333333333333333,20,0.54
21_csb-ch15-lung.arff,algorithm,9.627089326000714,9.627061702998615,9.627099514007568,2,1,1.0,2,0.69
22_lung.arff,algorithm,9.601615653000408,9.601584513999114,9.603021621704102,2,1,1.0,2,0.69
23_actg320.arff,algorithm,555.5990881880007,555.5990535839992,555.6239762306213,4,1,2.0,8,0.63
24_csb-ch12-nursing.arff,algorithm,221.21388722499975,221.21385684800043,221.21474885940552,15,3,2.6666666666666665,40,0.41
25_wcgs.arff,algorithm,627.3410508710022,627.341026215001,627.3529150485992,3,3,1.0,3,0.55
26_TRACE.arff,algorithm,3779.746883509,3779.7468368610025,3779.8772149086,2,0,1.0,2,0.97
